,cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
68,2.1-5,0.01,13.6237,17.6366,39.0,7.9253,0.3393,53.0,0.0063,0.0062,0.0059,0.0054,0.0045,0.0032,0.0018,0.6339,0.6251,0.5949,0.5446,0.4499,0.3235,0.1796,1.761,1.676,1.6,1.486,1.262,0.9179999999999999,0.524,176.9849,168.4422,160.804,149.3467,126.8342,92.2613,52.6633
69,2.1-9,0.01,13.6237,23.5197,42.0,8.445,0.3025,53.5,0.0059,0.0057,0.0046,0.0038,0.0031,0.0024,0.0015,0.5902,0.57,0.4636,0.3771,0.3126,0.2377,0.1472,1.632,1.548,1.2409999999999999,1.025,0.8740000000000001,0.675,0.431,164.0201,155.5779,124.7236,103.0151,87.8392,67.8392,43.3166
70,2.1-10,0.01,13.6237,25.2983,43.0,8.5749,0.2783,52.5,0.0057,0.0056,0.0046,0.0035,0.0029,0.0022,0.0014,0.5722,0.5605,0.465,0.3502,0.2921,0.222,0.1379,1.588,1.5190000000000001,1.26,0.9520000000000001,0.81,0.627,0.402,159.59799999999998,152.6633,126.6332,95.6784,81.407,63.0151,40.402
71,2.1-11,0.01,13.6237,27.8164,44.5,8.5099,0.3163,55.0,0.0054,0.0054,0.0044,0.0033,0.0025,0.0019,0.0012,0.5449,0.5407,0.4369,0.3273,0.2498,0.1895,0.1152,1.528,1.4769999999999999,1.1840000000000002,0.8909999999999999,0.695,0.537,0.33799999999999997,153.5678,148.4422,118.995,89.5477,69.8493,53.9699,33.9699
72,2.1-14,0.01,13.6237,17.6366,39.0,8.445,0.309,54.0,0.0049,0.0045,0.0037,0.0024,0.0014,0.001,0.0006,0.4921,0.4548,0.3683,0.23800000000000002,0.141,0.1042,0.0577,1.445,1.29,1.05,0.675,0.397,0.301,0.174,145.2261,129.6482,105.5276,67.8392,39.8995,30.2513,17.4874
73,2.1-15,0.0099,13.4963,18.615,39.1,8.445,0.2654,50.8,0.0039,0.0043,0.0035,0.0022,0.0013,0.001,0.0005,0.3963,0.4399,0.3546,0.2181,0.1331,0.0974,0.0545,1.1079999999999999,1.2309999999999999,0.998,0.612,0.374,0.281,0.166,112.3732,124.8479,101.21700000000001,62.068999999999996,37.931,28.499000000000002,16.8357
74,2.1-16,0.0097,13.2417,20.3543,39.2,8.445,0.2492,49.7,0.0051,0.0053,0.0044,0.0033,0.0024,0.0018,0.0011,0.5303,0.5448,0.4565,0.3454,0.2463,0.182,0.1124,1.483,1.4609999999999999,1.23,0.941,0.674,0.506,0.32299999999999995,153.3609,151.0858,127.1975,97.3113,69.7001,52.3268,33.4023
75,2.1-17,0.0099,13.4963,17.3467,38.5,8.445,0.2669,50.9,0.0054,0.0052,0.0043,0.0033,0.0023,0.0018,0.0011,0.5495,0.5301,0.4393,0.3378,0.2369,0.1814,0.1132,1.548,1.4409999999999998,1.1909999999999998,0.934,0.66,0.515,0.33299999999999996,156.998,146.14600000000002,120.7911,94.7262,66.9371,52.2312,33.7728
76,2.1-19,0.0099,13.4963,18.4064,39.0,8.445,0.2768,51.6,0.0057,0.0055,0.0047,0.0039,0.0031,0.0025,0.0015,0.5735,0.5563,0.4792,0.3995,0.3187,0.2514,0.1556,1.581,1.48,1.275,1.079,0.888,0.711,0.45399999999999996,160.3448,150.1014,129.3103,109.4321,90.0609,72.1095,46.0446
77,2.1-20,0.0097,13.2417,20.9592,39.5,8.445,0.2796,51.8,0.005,0.005,0.0043,0.0033,0.0022,0.0016,0.0009,0.512,0.5156,0.445,0.3363,0.2248,0.1624,0.0912,1.429,1.4,1.207,0.9159999999999999,0.617,0.45399999999999996,0.265,147.7766,144.7777,124.819,94.726,63.8056,46.9493,27.4043
78,2.1-21,0.0098,13.369000000000002,18.9683,38.9,8.445,0.2768,51.6,0.0052,0.0053,0.0046,0.0035,0.0025,0.0018,0.001,0.5345,0.5395,0.4671,0.3549,0.2523,0.1814,0.1003,1.4969999999999999,1.4680000000000002,1.266,0.966,0.6990000000000001,0.512,0.293,153.2242,150.2559,129.5804,98.8741,71.5456,52.4053,29.9898
79,2.1-22,0.01,13.6237,19.0889,39.7,8.445,0.2919,52.7,0.0056,0.0054,0.0045,0.0035,0.0021,0.0013,0.0006,0.5602,0.5415,0.4566,0.3472,0.2087,0.1296,0.0579,1.607,1.4969999999999999,1.271,0.986,0.5920000000000001,0.373,0.17300000000000001,161.5075,150.4523,127.7387,99.0955,59.4975,37.4874,17.3869
80,2.1-23,0.0093,12.7324,18.6442,36.9,8.445,0.2567,50.2,0.0051,0.0049,0.0041,0.003,0.0021,0.0015,0.0009,0.5518,0.5298,0.4456,0.3244,0.2201,0.1615,0.09699999999999999,1.459,1.357,1.145,0.847,0.578,0.431,0.26899999999999996,156.8817,145.914,123.1183,91.0753,62.1505,46.3441,28.9247
81,2.1-24,0.01,13.6237,18.6792,39.5,8.315,0.2934,52.0,0.0053,0.0051,0.0042,0.0032,0.0022,0.0015,0.0008,0.5307,0.5149,0.4216,0.3178,0.2186,0.1542,0.0791,1.525,1.422,1.16,0.8809999999999999,0.618,0.445,0.237,153.2663,142.9146,116.5829,88.5427,62.1106,44.7236,23.8191
82,2.1-25,0.01,13.6237,19.2922,39.8,8.2501,0.2976,51.9,0.0056,0.0055,0.0046,0.0034,0.0021,0.0015,0.0009,0.5587,0.5523,0.4577,0.3442,0.2137,0.15,0.0877,1.579,1.5290000000000001,1.266,0.971,0.601,0.428,0.26,158.6935,153.6683,127.2362,97.5879,60.402,43.0151,26.1307
83,2.1-27,0.0098,13.369000000000002,17.9132,38.4,8.5099,0.2684,51.4,0.0054,0.0052,0.0043,0.0032,0.0021,0.0015,0.0009,0.5482,0.5335,0.4431,0.3244,0.2138,0.1553,0.0927,1.545,1.449,1.2109999999999999,0.898,0.588,0.434,0.26899999999999996,158.1372,148.3112,123.9509,91.914,60.1842,44.4217,27.5333
84,2.1-28,0.0098,13.369000000000002,19.1761,39.0,8.5099,0.3249,55.7,0.0051,0.0043,0.0041,0.0031,0.0019,0.0013,0.0006,0.5235,0.4362,0.4212,0.3136,0.1927,0.1305,0.0648,1.459,1.194,1.1520000000000001,0.867,0.5379999999999999,0.373,0.193,149.3347,122.2109,117.912,88.741,55.0665,38.1781,19.7544
85,2.1-29,0.0095,12.987,20.2586,38.4,8.1851,0.28800000000000003,50.8,0.0049,0.0048,0.0042,0.0033,0.0022,0.0016,0.0009,0.5112,0.5099,0.441,0.3471,0.2337,0.1678,0.0952,1.3969999999999998,1.348,1.166,0.9229999999999999,0.633,0.462,0.272,147.2076,142.0443,122.8662,97.2603,66.7018,48.6828,28.6618
86,2.1-30,0.0098,13.369000000000002,18.1265,38.5,8.445,0.2654,50.8,0.0057,0.0055,0.0048,0.0041,0.0033,0.0025,0.0015,0.5835,0.5652,0.4898,0.4179,0.3381,0.2575,0.1479,1.5759999999999998,1.484,1.2930000000000001,1.122,0.9359999999999999,0.725,0.43,161.3101,151.8936,132.3439,114.8414,95.8035,74.2068,44.0123
87,2.1-31,0.0096,13.1144,20.9184,39.1,8.5099,0.2419,49.6,0.0038,0.0038,0.003,0.002,0.0013,0.0009,0.0004,0.3945,0.3988,0.3119,0.2057,0.1362,0.0887,0.0393,1.0959999999999999,1.0859999999999999,0.852,0.556,0.376,0.252,0.11699999999999999,114.405,113.3612,88.9353,58.0376,39.2484,26.3048,12.2129
88,2.1-32,0.0099,13.4963,17.5608,38.6,8.445,0.27399999999999997,51.4,0.0057,0.0055,0.0045,0.0035,0.0028,0.002,0.001,0.575,0.5546,0.4519,0.3587,0.2854,0.1983,0.1007,1.579,1.4809999999999999,1.2109999999999999,0.976,0.8009999999999999,0.563,0.295,160.142,150.2028,122.8195,98.9858,81.2373,57.0994,29.9189
89,2.1-33,0.0097,13.2417,19.5332,38.8,8.38,0.2668,50.5,0.0057,0.0055,0.0045,0.0037,0.0028,0.0019,0.0009,0.5859,0.57,0.4695,0.3772,0.2941,0.196,0.0973,1.5819999999999999,1.4969999999999999,1.232,1.006,0.81,0.546,0.28,163.5988,154.8087,127.4043,104.0331,83.7642,56.4633,28.9555
90,2.2-1,0.0099,13.4963,24.2345,42.0,8.2501,0.3604,57.0,0.0064,0.0062,0.0061,0.0059,0.0052,0.0041,0.002,0.6489,0.6291,0.6187,0.5941,0.5261,0.4129,0.1993,1.7619999999999998,1.663,1.651,1.6119999999999999,1.473,1.176,0.578,178.7018,168.6613,167.4442,163.4888,149.3915,119.2698,58.6207
91,2.2-2,0.0099,13.4963,24.2345,42.0,8.2501,0.3604,57.0,0.0055,0.0056,0.0051,0.0049,0.004,0.003,0.0017,0.5612,0.5665,0.5168,0.4932,0.4053,0.2992,0.1716,1.545,1.5130000000000001,1.3780000000000001,1.338,1.133,0.847,0.498,156.6937,153.4483,139.7566,135.6998,114.9087,85.9026,50.5071
92,2.2-3,0.0097,13.2417,25.664,42.0,8.38,0.3504,57.0,0.0061,0.0058,0.0052,0.0045,0.0035,0.0025,0.0014,0.6275,0.6004,0.5405,0.4609,0.3654,0.2539,0.1493,1.679,1.555,1.406,1.215,0.993,0.696,0.42,173.6298,160.8066,145.3981,125.6463,102.6887,71.9752,43.4333
93,2.2-4,0.0096,13.1144,26.3788,42.0,8.445,0.3453,57.0,0.0044,0.0046,0.0038,0.003,0.0024,0.0018,0.001,0.4581,0.4767,0.3926,0.3086,0.2458,0.1822,0.109,1.234,1.265,1.026,0.81,0.6659999999999999,0.502,0.31,128.81,132.0459,107.0981,84.5512,69.5198,52.4008,32.3591
94,2.2-5,0.0097,13.2417,25.664,42.0,8.2501,0.3604,57.0,0.0062,0.006,0.0055,0.0049,0.0041,0.003,0.0016,0.6432,0.6154,0.5651,0.5101,0.4283,0.3145,0.1646,1.714,1.5959999999999999,1.476,1.354,1.173,0.873,0.47,177.2492,165.0465,152.637,140.0207,121.303,90.2792,48.6039
95,2.2-7,0.0092,12.6051,26.616999999999997,40.5,8.5099,0.3449,57.4,0.0047,0.0046,0.0038,0.0031,0.0025,0.0019,0.0013,0.5127,0.5017,0.4129,0.3309,0.2655,0.2043,0.138,1.339,1.261,1.0270000000000001,0.8290000000000001,0.685,0.535,0.37200000000000005,145.3855,136.9164,111.5092,90.0109,74.3757,58.089,40.3909
96,2.2-8,0.0092,12.6051,20.7464,37.5,8.5099,0.3321,56.3,0.005,0.0049,0.0042,0.0035,0.0028,0.0022,0.0014,0.5445,0.5362,0.45899999999999996,0.3835,0.3078,0.2397,0.1493,1.425,1.351,1.149,0.966,0.797,0.63,0.40299999999999997,154.7231,146.6884,124.7557,104.88600000000001,86.5364,68.4039,43.7568
97,2.2-9,0.0095,12.987,23.4482,40.0,8.5099,0.3426,57.2,0.0059,0.0054,0.0049,0.0043,0.0039,0.0032,0.002,0.6159,0.5658,0.5115,0.4557,0.4092,0.3392,0.2145,1.619,1.439,1.3019999999999998,1.1740000000000002,1.089,0.9179999999999999,0.591,170.6006,151.6333,137.1971,123.7092,114.7524,96.7334,62.2761
98,2.2-10,0.0095,12.987,32.7017,45.5,8.7048,0.3228,56.8,0.0058,0.0054,0.0048,0.0043,0.0037,0.003,0.0019,0.6153,0.5642,0.5041,0.4487,0.39399999999999996,0.3126,0.1954,1.618,1.432,1.28,1.155,1.046,0.841,0.537,170.4953,150.8957,134.8788,121.7071,110.2213,88.6196,56.5859
99,2.2-11,0.0096,13.1144,24.5831,41.0,8.445,0.3599,58.3,0.006,0.0056,0.0051,0.0046,0.0038,0.003,0.0018,0.6279,0.5835,0.5271,0.4762,0.3962,0.3097,0.1925,1.669,1.493,1.355,1.244,1.065,0.845,0.536,174.2171,155.8455,141.4405,129.8539,111.1691,88.2046,55.9499
100,2.2-13,0.0096,13.1144,18.8428,38.1,8.38,0.3,52.9,0.0048,0.0047,0.0038,0.0027,0.0019,0.0012,0.0006,0.5013,0.4921,0.3929,0.28600000000000003,0.1937,0.1269,0.0635,1.3880000000000001,1.319,1.05,0.7709999999999999,0.532,0.35600000000000004,0.18600000000000003,144.8852,137.6827,109.6033,80.4802,55.5324,37.1608,19.4155
101,2.2-14,0.0097,13.2417,19.7401,38.9,8.5749,0.3294,56.5,0.0053,0.0053,0.0045,0.0034,0.0022,0.0014,0.0007,0.5443,0.5491,0.4605,0.34600000000000003,0.2279,0.145,0.0752,1.505,1.459,1.2209999999999999,0.9259999999999999,0.625,0.40399999999999997,0.217,155.636,150.879,126.2668,95.7601,64.6329,41.7787,22.4405
102,2.2-15,0.0093,12.7324,18.6442,36.9,8.5749,0.3123,55.1,0.005,0.0051,0.0042,0.0032,0.0021,0.0013,0.0007,0.5393,0.5474,0.4511,0.3463,0.225,0.141,0.0727,1.429,1.3940000000000001,1.149,0.8959999999999999,0.596,0.37799999999999995,0.20199999999999999,153.6559,149.8925,123.5484,96.3441,64.086,40.6452,21.7204
103,2.2-16,0.0098,13.369000000000002,20.6012,39.7,8.5099,0.2449,49.8,0.0054,0.0052,0.0043,0.0032,0.002,0.0014,0.0007,0.5511,0.5333,0.4415,0.3267,0.2073,0.1381,0.068,1.548,1.446,1.203,0.9059999999999999,0.574,0.39,0.2,158.4442,148.0041,123.132,92.7329,58.7513,39.9181,20.4708
104,2.2-17,0.0094,12.8597,17.3828,36.7,8.445,0.3252,55.3,0.005,0.005,0.0044,0.0035,0.0024,0.0016,0.0008,0.5272,0.5311,0.4682,0.3725,0.2527,0.1665,0.0883,1.406,1.3769999999999998,1.2109999999999999,0.972,0.677,0.45299999999999996,0.249,149.7338,146.6454,128.967,103.5144,72.098,48.2428,26.5176
105,2.2-18,0.0094,12.8597,18.2736,37.1,8.445,0.3276,55.5,0.005,0.0049,0.0042,0.0033,0.0022,0.0014,0.0008,0.5369,0.5243,0.4481,0.3497,0.2305,0.152,0.0894,1.442,1.344,1.148,0.907,0.615,0.41200000000000003,0.251,153.5676,143.131,122.2577,96.5921,65.4952,43.8765,26.7306
106,2.2-19,0.0097,13.2417,20.3543,39.2,8.445,0.3276,55.5,0.0057,0.0058,0.0054,0.0047,0.0035,0.0022,0.001,0.5922,0.6034,0.5552,0.4873,0.359,0.2271,0.106,1.594,1.5759999999999998,1.463,1.308,0.9890000000000001,0.633,0.303,164.8397,162.9783,151.2927,135.2637,102.2751,65.4602,31.334
107,2.2-20,0.0099,13.4963,20.0464,39.8,8.445,0.2946,52.9,0.0053,0.0053,0.0046,0.0037,0.0027,0.0019,0.0011,0.5346,0.5361,0.4693,0.373,0.2713,0.1924,0.1071,1.518,1.453,1.2690000000000001,1.0190000000000001,0.76,0.547,0.314,153.9554,147.3631,128.7018,103.3469,77.0791,55.4767,31.8458
108,2.2-21,0.0096,13.1144,19.4768,38.4,8.5099,0.31,54.5,0.0053,0.0053,0.0044,0.0034,0.0023,0.0015,0.0008,0.5536,0.5568,0.4599,0.3574,0.2437,0.1612,0.0865,1.506,1.469,1.213,0.951,0.665,0.446,0.249,157.2025,153.3403,126.618,99.2693,69.4155,46.5553,25.9917
109,2.2-24,0.0098,13.369000000000002,21.3932,40.1,8.5099,0.3151,54.9,0.0059,0.0057,0.0052,0.0048,0.0038,0.0024,0.0011,0.6005,0.5812,0.5354,0.49,0.3928,0.2487,0.1095,1.631,1.5330000000000001,1.423,1.324,1.0959999999999999,0.698,0.315,166.9396,156.9089,145.65,135.5169,112.1801,71.4432,32.2416
110,2.2-25,0.0095,12.987,19.4192,38.0,8.5099,0.2479,50.0,0.0054,0.0053,0.0044,0.0036,0.0028,0.0019,0.0009,0.5662,0.5568,0.46299999999999997,0.3756,0.2899,0.1984,0.0993,1.526,1.454,1.203,0.988,0.785,0.547,0.28300000000000003,160.8008,153.2139,126.765,104.1096,82.7187,57.6396,29.8209
111,2.2-29,0.0095,12.987,17.907,37.3,8.5749,0.3376,57.2,0.0052,0.0053,0.0045,0.0039,0.0028,0.0018,0.0008,0.5449,0.5528,0.4758,0.4115,0.2897,0.1865,0.0894,1.4569999999999999,1.443,1.24,1.089,0.784,0.512,0.254,153.53,152.0548,130.6639,114.7524,82.6133,53.9515,26.765
112,2.2-31,0.0097,13.2417,22.1419,40.1,8.5749,0.2267,49.0,0.0053,0.005,0.0042,0.0033,0.0024,0.0018,0.001,0.5458,0.5206,0.4321,0.3359,0.2491,0.1834,0.10099999999999999,1.5030000000000001,1.396,1.1540000000000001,0.9059999999999999,0.687,0.516,0.29600000000000004,155.4292,144.364,119.3382,93.6918,71.0445,53.3609,30.6101
113,2.2-32,0.0099,13.4963,22.5754,41.1,8.6398,0.2365,50.0,0.0046,0.0044,0.0035,0.0024,0.0017,0.0012,0.0006,0.46399999999999997,0.4442,0.3545,0.2476,0.1768,0.1185,0.0564,1.327,1.2329999999999999,0.988,0.6859999999999999,0.504,0.34700000000000003,0.172,134.5842,125.0507,100.2028,69.574,51.1156,35.1927,17.4442
114,2.2-33,0.0096,13.1144,23.4631,40.4,8.445,0.2919,52.7,0.0054,0.0052,0.0044,0.0036,0.0027,0.0018,0.0009,0.5621,0.542,0.4557,0.3799,0.2801,0.1839,0.0943,1.524,1.4180000000000001,1.187,1.003,0.765,0.51,0.271,159.0814,148.0167,123.904,104.6973,79.8539,53.2359,28.2881
115,2.3-1,0.0097,13.2417,30.6198,45.0,8.2501,0.4024,61.0,0.0064,0.0061,0.0059,0.0056,0.0051,0.0036,0.0013,0.6644,0.6354,0.6109,0.5813,0.5229,0.3724,0.1319,1.765,1.651,1.599,1.545,1.4340000000000002,1.038,0.38,182.5233,170.7342,165.3568,159.7725,148.2937,107.3423,39.2968
116,2.3-3,0.0098,13.369000000000002,29.9526,45.0,8.38,0.39299999999999996,61.0,0.0063,0.0059,0.0057,0.0057,0.0052,0.0043,0.0025,0.6398,0.6055,0.5837,0.5832,0.5354,0.4446,0.2577,1.72,1.58,1.5330000000000001,1.56,1.476,1.249,0.738,176.0491,161.7196,156.9089,159.6725,151.0747,127.8403,75.5374
117,2.3-4,0.0097,13.2417,30.6198,45.0,8.1851,0.4071,61.0,0.0063,0.006,0.006,0.0057,0.0053,0.0045,0.0025,0.6554,0.6213,0.6149,0.5924,0.5464,0.4624,0.2535,1.7480000000000002,1.607,1.605,1.569,1.4909999999999999,1.291,0.723,180.7653,166.1841,165.9773,162.2544,154.1882,133.5057,74.7673
118,2.3-5,0.0098,13.369000000000002,29.9526,45.0,8.315,0.3977,61.0,0.0062,0.006,0.0057,0.0055,0.0047,0.0035,0.0017,0.6298,0.6105,0.5879,0.5579,0.4827,0.3571,0.1753,1.6840000000000002,1.6,1.555,1.499,1.339,1.0,0.5,172.3644,163.7666,159.1607,153.4289,137.0522,102.3542,51.1771
119,2.3-6,0.0099,13.4963,29.2855,45.0,8.1851,0.4071,61.0,0.0065,0.0063,0.0061,0.0058,0.0053,0.004,0.0016,0.6547,0.6374,0.6155,0.5894,0.5397,0.4041,0.1589,1.778,1.6840000000000002,1.639,1.5919999999999999,1.501,1.141,0.46,180.3245,170.7911,166.2272,161.4605,152.2312,115.7201,46.6531
120,2.3-7,0.0099,13.4963,33.7052,48.0,8.5749,0.3123,55.1,0.0062,0.006,0.0059,0.0057,0.0052,0.0042,0.0022,0.6317,0.6107,0.5981,0.5773,0.5294,0.4287,0.2185,1.712,1.611,1.5919999999999999,1.561,1.476,1.218,0.629,173.6308,163.3874,161.4605,158.3164,149.6957,123.5294,63.7931
121,2.3-8,0.0095,12.987,37.5088,49.0,8.445,0.3325,55.9,0.0062,0.0059,0.0057,0.0054,0.0051,0.0043,0.0024,0.6548,0.6215,0.5962,0.5648,0.5343,0.4525,0.257,1.7169999999999999,1.577,1.528,1.475,1.452,1.272,0.735,180.9273,166.1749,161.0116,155.4268,153.0032,134.0358,77.45
122,2.3-9,0.01,13.6237,28.6184,45.0,8.5749,0.3353,57.0,0.0063,0.006,0.0057,0.0055,0.0052,0.0044,0.0026,0.634,0.6015,0.5767,0.5493,0.5267,0.4417,0.2603,1.7380000000000002,1.599,1.546,1.496,1.484,1.27,0.7609999999999999,174.6734,160.7035,155.3769,150.3518,149.1457,127.6382,76.4824
123,2.3-10,0.0099,13.4963,28.491,44.5,8.445,0.3407,56.6,0.0064,0.0061,0.006,0.0058,0.0054,0.0044,0.002,0.6512,0.6213,0.6073,0.5907,0.5447,0.4428,0.2062,1.77,1.639,1.6159999999999999,1.597,1.518,1.258,0.597,179.5132,166.2272,163.8945,161.9676,153.9554,127.5862,60.5477
124,2.3-11,0.0099,13.4963,32.2946,47.0,8.5749,0.3222,55.9,0.0064,0.0061,0.006,0.0056,0.0049,0.0037,0.0016,0.6497,0.6222,0.6033,0.5678,0.4981,0.3714,0.1589,1.768,1.652,1.619,1.55,1.4040000000000001,1.067,0.469,179.3103,167.5456,164.1988,157.2008,142.3935,108.215,47.5659
125,2.3-15,0.0098,13.369000000000002,35.4071,48.8,8.38,0.3092,53.6,0.0063,0.0061,0.0057,0.0052,0.004,0.0017,0.0005,0.6397,0.6267,0.5782,0.5291,0.4103,0.1781,0.0483,1.725,1.655,1.5390000000000001,1.433,1.147,0.508,0.142,176.5609,169.3961,157.523,146.6735,117.4002,51.9959,14.5343
126,2.3-16,0.01,13.6237,26.6627,43.8,8.2501,0.3693,57.8,0.006,0.0056,0.0049,0.0043,0.0037,0.0031,0.0019,0.5982,0.5658,0.496,0.4322,0.3763,0.312,0.1905,1.655,1.524,1.328,1.173,1.058,0.893,0.561,166.3317,153.1658,133.4673,117.8895,106.3317,89.7487,56.3819
127,2.3-17,0.0099,13.4963,27.8424,44.1,8.315,0.3588,57.3,0.0062,0.0057,0.0053,0.0049,0.0044,0.0039,0.0023,0.6243,0.5812,0.5329,0.4917,0.45,0.3951,0.228,1.7662,1.5794,1.4551,1.3648,1.2919999999999998,1.1621,0.687,179.1254,160.1838,147.5783,138.4186,131.0384,117.861,69.6773
128,2.3-18,0.01,13.6237,31.0693,46.6,8.2501,0.3311,54.5,0.0063,0.0058,0.0051,0.0044,0.0039,0.0033,0.0019,0.6306,0.583,0.5115,0.4424,0.3957,0.3288,0.1916,1.7649,1.5895,1.3969,1.2269,1.1399,0.9723,0.5864,177.3767,159.7491,140.3947,123.3031,114.5647,97.7219,58.9336
129,2.3-19,0.0099,13.4963,34.1169,48.3,8.1851,0.3472,55.4,0.0062,0.0061,0.0058,0.0054,0.0046,0.0026,0.0007,0.6324,0.618,0.5827,0.5423,0.4664,0.2644,0.0701,1.7729,1.6902,1.608,1.5206,1.3522,0.7765,0.2135,179.8115,171.4202,163.0793,154.2138,137.1421,78.7506,21.651
130,2.3-20,0.01,13.6237,32.2327,47.4,8.2501,0.3237,53.9,0.0064,0.0061,0.0059,0.0057,0.0052,0.0039,0.0014,0.6433,0.6125,0.5920000000000001,0.5771,0.5225,0.3901,0.1391,1.81,1.6668,1.6237,1.6103,1.5032,1.1437,0.4231,181.9085,167.5161,163.181,161.8366,151.0749,114.9419,42.527
131,2.3-22,0.01,13.6237,31.0693,46.6,8.315,0.3565,57.1,0.0061,0.0058,0.0052,0.0046,0.0039,0.003,0.0018,0.6097,0.5775,0.5263,0.4638,0.3887,0.3001,0.1778,1.7167,1.578,1.4378,1.2861,1.1162,0.8759,0.5333,172.5361,158.5942,144.5065,129.2517,112.1847,88.0345,53.5945
132,2.3-23,0.01,13.751,27.4677,44.7,8.2501,0.3582,56.8,0.0063,0.0061,0.0057,0.0054,0.0046,0.0026,0.0008,0.6273,0.6067,0.5646,0.5372,0.4603,0.2604,0.0812,1.7573,1.6576,1.5562,1.5089,1.3353,0.7614,0.2442,175.0251,165.0992,154.9997,150.2903,132.9954,75.8326,24.3246
133,2.3-25,0.01,13.6237,31.5102,46.9,8.1851,0.32899999999999996,53.9,0.0062,0.0061,0.0059,0.0056,0.0049,0.0038,0.0018,0.6269,0.6127,0.59,0.5598,0.4908,0.3856,0.1831,1.75,1.6725,1.6269,1.5709,1.4217,1.1396,0.5544,175.8794,168.0899,163.5041,157.8746,142.8818,114.5352,55.7157
134,2.3-26,0.01,13.751,27.7908,44.9,8.445,0.3643,58.7,0.0064,0.0062,0.006,0.0057,0.005,0.0036,0.0013,0.6339,0.6148,0.5932,0.5631,0.5012,0.35600000000000004,0.129,1.771,1.6780000000000002,1.635,1.5773,1.4472,1.0411,0.3871,176.3918,167.1297,162.8527,157.0988,144.1435,103.6958,38.5577
135,2.3-27,0.01,13.751,31.3095,47.2,8.2501,0.3593,56.9,0.0063,0.0061,0.006,0.0057,0.005,0.0028,0.0007,0.626,0.6089,0.5944,0.5634,0.4931,0.27699999999999997,0.0743,1.7444,1.6583,1.6358,1.5764,1.4259,0.8107,0.2244,173.7492,165.17,162.9254,157.0079,142.0242,80.74600000000001,22.3528
136,2.3-28,0.01,13.751,29.2098,45.8,8.1202,0.3428,54.6,0.0063,0.0057,0.0051,0.0043,0.0033,0.0024,0.0015,0.622,0.5704,0.5102,0.4313,0.3296,0.2369,0.14400000000000002,1.7429,1.5552,1.3906,1.1923,0.9397,0.6857,0.4304,173.5967,154.8987,138.5038,118.7542,93.5962,68.2968,42.8691
